Time	Draw				Score			Duration	Court	
	9:00 AM	BS U11	Alex Sin	-	Jaden Jin	10-21 21-19 21-11			0:47	Main Location - 4
	9:00 AM	BS U11	William Ye	-	Ethan Do	21-8 21-13			0:28	Main Location - 5
	9:00 AM	BS U11	Thanik Bharani	-	Ben Tirtohadi	21-9 21-11			0:32	Main Location - 6
	9:00 AM	BS U11	Andrew Lu	-	Jacky Zhang	21-13 19-21 21-6			0:38	Main Location - 8
	9:00 AM	BS U11	Arthur Lee	-	Kyle Peng	21-10 21-6			0:24	Main Location - 7
	9:00 AM	BS U11	Samuel Li	-	Caden Liu	22-20 21-19			0:35	Main Location - 9
	9:00 AM	BS U11	Lukas Chang	-	Adam Tay	21-12 21-16			0:30	Main Location - 10
	9:00 AM	BS U13	Manogne Reddy	-	Sushruth Booma	21-6 21-6			0:29	Main Location - 11
	9:00 AM	BS U13	Adrian Mar	-	Ashton Lee	21-19 21-18			0:32	Main Location - 12
	9:00 AM	BS U13	Marvin Mo	-	Cheuklun Ku	21-17 21-16			0:33	Main Location - 1
	9:00 AM	BS U13	Joshua Yang	-	Austin Bu	21-10 21-15			0:29	Main Location - 2
	9:00 AM	BS U13	Partha Teja Malladi	-	Christopher Liu	21-7 19-21 21-16			0:37	Main Location - 3
	9:25 AM	BS U13	Caio Li	-	Jonathan Siu	21-6 21-6			0:21	Main Location - 7
	9:25 AM	BS U13	Henry Tang	-	Ryan Hsiao	21-4 21-8			0:24	Main Location - 5
	9:25 AM	BS U13	Jun Jie Lai	-	Kenny Chen	15-21 21-18 21-19			0:46	Main Location - 2
	9:25 AM	BS U13	Edison Ma	-	Tommy Tan	21-15 21-12			0:24	Main Location - 6
	9:25 AM	BS U13	Thomas Liew	-	Chuhua Yang	23-21 21-16			0:32	Main Location - 12
	9:25 AM	BS U13	Kelvin Chong	-	Jeremy Chen	21-15 21-13			0:27	Main Location - 1
	9:25 AM	BS U13	Kevin Ngo	-	Daniel Yuan	21-13 18-21 21-12			0:41	Main Location - 8
	9:25 AM	BS U13	Pranai Konduru	-	Kevin Lan	18-21 21-12 21-17			0:35	Main Location - 9
	9:25 AM	BS U13	Andrew Liang	-	Ryan Phan	21-14 21-17			0:27	Main Location - 11
	9:25 AM	BS U15	Narahari Rao	-	Ji Lu	Walkover				
	9:25 AM	BS U15	Tony Liuzhou	-	Harshith Rajasekaran	20-22 21-18 21-17			0:59	Main Location - 3
	9:25 AM	BS U15	Ethan Lee	-	Naveen Arunachalam Sakthiyendran	21-15 14-21 21-12			0:41	Main Location - 10
	9:50 AM	BS U15	Trevor Tan	-	Aaron Wu	21-14 21-1			0:23	Main Location - 7
	9:50 AM	BS U15	William Hu	-	Timothy Oeij	21-18 21-18			0:42	Main Location - 1
	9:50 AM	BS U15	Alistair Lee	-	Daniel Huang	21-6 21-7			0:25	Main Location - 9
	9:50 AM	BS U15	Ethan Wu	-	Wei Sheng Aw	21-19 21-7			0:29	Main Location - 11
	9:50 AM	BS U15	Jason Zhao	-	Owen Che	23-21 21-13			0:34	Main Location - 4
	9:50 AM	BS U15	Daniel Fung	-	Tommy Tan	21-12 15-21 21-19			0:25	Main Location - 6
	9:50 AM	BS U15	Teng Yue Ren	-	Nathan Zeng	21-18 21-16			0:30	Main Location - 10
	9:50 AM	BS U15	Justin Wang	-	Joshua Yeung	21-15 21-15			0:28	Main Location - 7
	9:50 AM	BS U15	Jacob Zhang	-	Zizhen Zhang	21-8 21-12			0:23	Main Location - 12
	9:50 AM	BS U15	Joseph Zhang	-	Alvin Chen	21-6 21-7			0:26	Main Location - 2
	9:50 AM	BS U15	Charles Liu	-	Brandon Lin	21-15 21-14			0:29	Main Location - 5
	9:50 AM	BS U17	Victor Zheng	-	Bryan Lam	21-13 21-14			0:27	Main Location - 8
	10:15 AM	BS U17	Emanuel Chang	-	Andrew Lee	21-10 21-7			0:08	Main Location - 3
	10:15 AM	BS U17	Nakulan Karthikeyan	-	Ethan Chandra	21-6 21-16			0:26	Main Location - 9
	10:15 AM	BS U17	Ritvik Regulapati	-	Derrick Wong	21-11 21-7			0:30	Main Location - 7
	10:15 AM	BS U17	Wai Hei Ngan	-	Nihal Bondugula	21-16 21-15			0:33	Main Location - 8
	10:15 AM	BS U17	Christopher Ho	-	Max Li	21-16 18-21 21-17			0:44	Main Location - 12
	10:15 AM	XD U11	Daniel Zhou Savanna Lee	-	Kyle Fang Charlotte Tse	21-7 21-6			0:26	Main Location - 10
	10:15 AM	XD U11	Scott Lin Jasmine Yeung	-	Arav Sachdeva Micah Cheng	21-9 21-17			0:27	Main Location - 11
	10:15 AM	XD U11	William Wang Shelley Li	-	Jedd Perea Lilian Shu	21-13 21-8			0:31	Main Location - 6
	10:15 AM	XD U11	Jerry Yuan Olivia Chen	-	Lance Fuchia Laasya Priya Mullapudi	24-22 21-10			0:14	Main Location - 5
	10:15 AM	BS U13	Ray Wang	-	Aaron Bai	22-20 24-22			0:35	Main Location - 1
	10:15 AM	BS U13	Wyatt Fong	-	Robert Chang	21-18 21-10			0:30	Main Location - 4
	10:15 AM	BS U13	Geoffrey Tong	-	Ryan Wu	21-14 20-22 21-17			0:50	Main Location - 2
	10:40 AM	XD U11	Weslie Chen Veronica Yang	-	Adam Tay Mia Zhang	21-11 21-15			0:35	Main Location - 11
	10:40 AM	XD U11	Ved Vedere Mikayla Cruz	-	Lukas Chang Alice Wang	21-19 21-9			0:27	Main Location - 7
	10:40 AM	XD U11	Thanik Bharani Jacquelyn Chen	-	Arjun Chatterjee Joline Siu	19-21 21-17 21-11			0:50	Main Location - 3
	10:40 AM	BS U13	Ethan Chang	-	Jeffrey Ma	21-12 21-9			0:30	Main Location - 9
	10:40 AM	BS U15	Steve Su	-	William Dai	21-18 8-21 21-14			0:50	Main Location - 10
	10:40 AM	BS U15	Bryan Auyeung	-	Ryan Qian	21-13 21-10			0:29	Main Location - 4
	10:40 AM	BS U15	Joshua Yuan	-	Nathan Chiang	21-19 21-12			0:35	Main Location - 12
	10:40 AM	GD U15	Alexandra Joseph Helena Li	-	Candace Do Celina Yu	21-16 21-18			0:32	Main Location - 1
	10:40 AM	GS U17	Jakin Lin	-	Lumbini Chandrasekera	21-13 21-11			0:28	Main Location - 5
	10:40 AM	GS U17	Mirabelle Huang	-	Jessica To	21-14 21-17			0:26	Main Location - 4
	10:40 AM	GS U17	Crystal Wai	-	Amber Low	13-21 21-17 21-19			0:42	Main Location - 6
	10:40 AM	BS U19	Phillip Jap [2]	-	Erwin Sarmiento	Walkover				
	11:05 AM	XD U13	Ryan Hsiao Emma Xiong	-	Chuhua Yang Stella Tran	Walkover				
	11:05 AM	XD U13	Pranai Konduru Shriya Chockalingam	-	Christopher Liu Sumaswara Chinthalapati	21-15 21-10			0:38	Main Location - 8
	11:05 AM	BD U13	Alec Lee Henry Tang	-	Austin Bu Kenny Chen	21-12 21-5			0:30	Main Location - 11
	11:05 AM	GS U17	Lauren Lam	-	Catherine Oei	21-10 21-13			0:26	Main Location - 1
	11:05 AM	BS U11	Alvin Ng [1]	-	Jayane Chandrasekera	21-7 21-10			0:31	Main Location - 3
	11:05 AM	BS U11	Thompson Ma [5/8]	-	Linden Wang	21-9 21-6			0:28	Main Location - 9
	11:05 AM	BS U11	Samuel Li	-	Jatin Yang	21-11 21-4			0:30	Main Location - 11
	11:05 AM	BS U11	Jeffrey Chang	-	Wain Guo [5/8]	21-15 21-12			0:27	Main Location - 7
	11:05 AM	GS U11	Kaitlyn Wang [1]	-	Lilian Shu	21-6 21-9			0:25	Main Location - 4
	11:05 AM	GS U11	Brianna Xu [3/4]	-	Mia Hundley	21-1 21-4			0:27	Main Location - 5
	11:05 AM	GS U11	Rachel Lee	-	Ella Lin	21-10 21-17			0:32	Main Location - 2
	11:05 AM	GS U11	Reanne Chan	-	Jasmine La	21-13 21-15			0:29	Main Location - 12
	11:30 AM	BD U15	Daniel Huang Brandon Zhou	-	Kolton Zeng Nathan Zeng	21-7 21-6			0:25	Main Location - 9
	11:30 AM	BD U15	Ben Bielin Ethan Lee	-	Brandon Xu Joshua Yuan	Walkover				
	11:30 AM	BD U15	Kelvin Chong Alohi Sheung	-	Thomas Liew Charles Liu	21-8 21-6			0:27	Main Location - 2
	11:30 AM	BD U15	Jacob Yeung Joshua Yeung	-	Alvin Chen Aaron Wu	21-12 21-15			0:28	Main Location - 12
	11:30 AM	GS U11	Chloe Ho	-	Elise Fong	21-8 21-13			0:30	Main Location - 10
	11:30 AM	GS U11	Jaylyn Lee [3/4]	-	Meha Vedere	21-7 21-7			0:26	Main Location - 5
	11:30 AM	GS U11	Sahasra Chada	-	Salina Tang	21-1 21-4			0:26	Main Location - 6
	11:30 AM	GS U11	Hailey Hung [2]	-	Melissa Jin	21-7 21-11			0:23	Main Location - 4
	11:30 AM	BS U13	Daniel Bielin [5/8]	-	Marvin Mo	Walkover				
	11:30 AM	GS U13	Kalea Sheung [1]	-	Ishika Jaiswal	21-11 21-14			0:27	Main Location - 1
	11:30 AM	GS U13	Kodi Lee	-	Audrey Zhu	21-13 21-10			0:28	Main Location - 7
	11:30 AM	GS U13	Francesca Corbett [5/8]	-	Kristine Ngo	21-10 21-6			0:38	Main Location - 8
	11:55 AM	BD U13	Ryan Ma Ray Wang	-	Allen Jolly Partha Teja Malladi	21-13 21-13			0:27	Main Location - 3
	11:55 AM	BD U13	Wyatt Fong Caio Li	-	Matthew Li Ryan Wu	21-9 21-13			0:33	Main Location - 6
	11:55 AM	BD U17	Adrian Lee Ken Zhu	-	Emanuel Chang Jacob Zhang	21-15 21-13			0:27	Main Location - 5
	11:55 AM	BS U11	Daniel Zhou	-	Arav Sachdeva	21-9 21-6			0:30	Main Location - 9
	11:55 AM	BS U11	Lance Fuchia	-	Andrew Lu	21-12 21-9			0:30	Main Location - 11
	11:55 AM	BS U11	Scott Lin	-	Kai Chong [5/8]	21-16 17-21 21-15			0:15	Main Location - 12
	11:55 AM	GS U11	Jasmine Yeung	-	Kayla Wu [5/8]	21-16 21-8			0:33	Main Location - 7
	11:55 AM	GS U11	Olivia Chen [5/8]	-	Micah Cheng	21-8 21-3			0:23	Main Location - 8
	11:55 AM	GS U13	Emma Lin	-	Candace Wong	21-14 21-9			0:02	Main Location - 4
	11:55 AM	GS U13	Amanda Ng	-	Amber Zhang	21-11 21-10			0:24	Main Location - 1
	11:55 AM	GS U13	Natalie Chi [5/8]	-	Megan Lee	21-5 21-5			0:29	Main Location - 10
	11:55 AM	BS U19	Anthony Chu	-	Darren Lo	21-7 21-14			0:29	Main Location - 2
	11:55 AM	BD U15	Tommy Tan Chuhua Yang	-	Owen Che Zizhen Zhang	21-10 21-14			0:44	Main Location - 3
	12:20 PM	BD U11	Thanik Bharani Jerry Yuan	-	Aaric Hoar Kyle Peng	21-9 21-8			0:31	Main Location - 11
	12:20 PM	BD U13	Ryan Phan Daniel Yuan	-	Jeffrey Ma Manogne Reddy	21-7 21-10			0:29	Main Location - 6
	12:20 PM	BD U15	Tony Liuzhou Derek Tan	-	Bryan Auyeung Timothy Oeij	21-18 21-9			0:36	Main Location - 10
	12:20 PM	BD U15	Alistair Lee Aaron Low	-	Teng Yue Ren Ethan Wu	21-13 21-18			0:32	Main Location - 2
	12:20 PM	BD U15	William Dai Jason Zhao	-	Ryan Qian Winston Tang	21-12 21-17			0:35	Main Location - 6
	12:20 PM	BS U11	Weslie Chen [3/4]	-	William Wang	21-10 21-15			0:38	Main Location - 8
	12:20 PM	BS U11	Ved Vedere [3/4]	-	Patrick Chi	21-12 21-12			0:25	Main Location - 5
	12:20 PM	BS U11	Lukas Chang	-	Kyle Fang	21-8 21-10			0:26	Main Location - 4
	12:20 PM	BS U11	Jedd Perea [2]	-	Arjun Chatterjee	22-20 21-12			0:28	Main Location - 9
	12:20 PM	GS U11	Charlotte Tse	-	Alice Wang	19-21 21-6 21-12			0:40	Main Location - 7
	12:20 PM	GS U11	Veronica Yang [5/8]	-	Akshaya Ajan	21-7 21-7			0:27	Main Location - 1
	12:20 PM	GS U11	Shelley Li	-	Mia Zhang	21-9 21-10			0:29	Main Location - 5
	12:20 PM	XD U17	Dean Tan [3/4] Jennie Gai	-	Derrick Wong Crystal Wai	21-5 21-7			0:23	Main Location - 12
	12:45 PM	BD U13	Codey Ma Tommy Tan	-	Christopher Liu Jonathan Siu	21-12 21-10			0:29	Main Location - 5
	12:45 PM	BS U11	Caden Liu	-	Jatin Yang	21-11			0:20	Main Location - 11
	12:45 PM	GS U11	Mikayla Cruz [5/8]	-	Joline Siu	17-21 21-19 21-16			0:45	Main Location - 7
	12:45 PM	GS U11	Jacquelyn Chen	-	Laasya Priya Mullapudi	21-8 21-10			0:27	Main Location - 2
	12:45 PM	BS U13	Alec Lee	-	Joshua Yang	21-16 14-21 23-21			0:40	Main Location - 10
	12:45 PM	BS U13	Andrew Wang [5/8]	-	Henry Tang	21-14 21-16			0:33	Main Location - 3
	12:45 PM	BS U13	Mihir Raja [5/8]	-	Jun Jie Lai	21-10 21-10			0:26	Main Location - 10
	12:45 PM	BS U13	Brandon Wu	-	Pranai Konduru	21-10 21-10			0:30	Main Location - 4
	12:45 PM	GS U13	Catherine Zheng [3/4]	-	Shriya Chockalingam	21-19 22-20			0:32	Main Location - 11
	12:45 PM	GS U13	Emily Han	-	Ashley Yang	21-18 21-13			0:36	Main Location - 8
	12:45 PM	GS U13	Jessica Fan	-	Ellen Zulkarnain	17-21 21-15 21-9			0:42	Main Location - 1
	12:45 PM	GD U19 - Group B	Joanna Liu Crystal Pan	-	Bianca Tam [2] Helen (BBC) Wang	21-17 18-21 21-19			0:50	Main Location - 9
	12:45 PM	BS U13	Allen Jolly	-	Andrew Tan	21-16 21-13			0:24	Main Location - 12
	1:10 PM	GS U13	Claire Chen [5/8]	-	Sumaswara Chinthalapati	21-1 21-3			0:25	Main Location - 4
	1:10 PM	GS U13	Claire Wang	-	Emma Xiong	21-13 21-8			0:19	Main Location - 12
	1:10 PM	GS U13	Bhaavya Manikonda [3/4]	-	Stella Tran	Walkover				
	1:10 PM	GS U13	Helen Wang	-	Andrea Lou	21-18 17-21 21-18			0:45	Main Location - 5
	1:10 PM	GS U13	Yvonne Qiu [5/8]	-	Ivy Wang	21-11 21-5			0:31	Main Location - 2
	1:10 PM	GS U13	Ragalina Palaka	-	Harika Regulapati	21-7 21-13			0:27	Main Location - 11
	1:10 PM	GS U13	Jolie Wang [2]	-	Melody Yang	21-15 21-11			0:28	Main Location - 3
	1:10 PM	BS U15	Ethan Lee	-	Jacob Yeung [5/8]	21-17 21-15			0:41	Main Location - 1
	1:10 PM	BS U15	Trevor Tan	-	Jeffrey Tan	21-9 21-17			0:27	Main Location - 8
	1:10 PM	BS U15	Daniel Fung	-	Samuel Wang	21-11 14-21 21-17			0:56	Main Location - 9
